,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Staatsangehörigkeit: Polen,3.00,5.00,5.00,9.00,12.00,14.00,14.00,18.00,14.00,16.00,19.00,17.00,18.00,16.00,12.00,11.00,13.00,
Staatsangehörigkeit: Übriges Ausland,910.00,1019.00,1117.00,1208.00,1306.00,1275.00,1408.00,1414.00,1545.00,1474.00,1448.00,1491.00,1563.00,1642.00,1718.00,1753.00,1756.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,7107.00,,,,
Religion: Protestantisch,,,,,,,,,,,,,,1676.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,1863.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,95.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,704.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,21.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,2643.00,,,,
Religion: Andere,,,,,,,,,,,,,,1371.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,737.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,3048.00,3005.00,3075.00,2949.00,,,
Sozialhilfequote,,9.10,9.15,9.89,11.62,12.74,12.76,11.93,11.40,11.86,11.66,13.07,13.46,12.89,12.77,12.31,12.01,
Geld: Veranlagungen,,,,,,,,,,,,,,,9157.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,50417.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,38500.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.50,,,
Geld: Einkommensteuer Mittelwert,,,,,,,,,,,,,,,6265.00,,,
Geld: Einkommensteuer Median,,,,,,,,,,,,,,,2959.00,,,
Geld: Einkommensteuer Summe,,,,,,,,,,,,,,,57372492.00,,,
Geld: Steuerbelastung des Reineinkommens,,,,,,,,,,,,,,,12.43,,,
Geld: Reinvermögen Mittelwert,,,,,,,,,,,,,,,123557.00,,,
Geld: Reinvermögen Median,,,,,,,,,,,,,,,4000.00,,,
Geld: Reinvermögen Gini,,,,,,,,,,,,,,,0.89,,,
Geld: Vermögenssteuer Mittelwert,,,,,,,,,,,,,,,475.00,,,
Geld: Vermögenssteuer Median,,,,,,,,,,,,,,,0.00,,,
Geld: Vermögenssteuer Summe,,,,,,,,,,,,,,,4348917.00,,,
Geld: Steuerbelastung des Reinvermögens,,,,,,,,,,,,,,,0.38,,,
,,,,,,,,,,,,,,,,,,
