,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Staatsangehörigkeit: Mazedonien,22.00,14.00,18.00,11.00,15.00,14.00,16.00,17.00,16.00,14.00,18.00,15.00,14.00,16.00,11.00,12.00,13.00,
Staatsangehörigkeit: Vereinigtes Königreich,30.00,44.00,53.00,64.00,64.00,60.00,61.00,52.00,47.00,52.00,34.00,41.00,48.00,48.00,63.00,50.00,48.00,
Staatsangehörigkeit: Frankreich,20.00,19.00,23.00,23.00,25.00,31.00,39.00,42.00,42.00,45.00,49.00,47.00,51.00,53.00,58.00,74.00,79.00,
Staatsangehörigkeit: Indien,6.00,7.00,6.00,8.00,8.00,11.00,10.00,14.00,21.00,35.00,40.00,46.00,45.00,35.00,34.00,17.00,20.00,
Staatsangehörigkeit: Vereinigte Staaten von Amerika,17.00,21.00,21.00,27.00,27.00,30.00,23.00,21.00,28.00,30.00,27.00,24.00,38.00,39.00,51.00,66.00,63.00,
Staatsangehörigkeit: Österreich,22.00,20.00,20.00,22.00,25.00,20.00,25.00,27.00,27.00,27.00,35.00,34.00,28.00,31.00,36.00,39.00,40.00,
Staatsangehörigkeit: Kroatien,29.00,32.00,33.00,33.00,37.00,43.00,46.00,42.00,30.00,30.00,29.00,25.00,26.00,19.00,17.00,16.00,17.00,
Staatsangehörigkeit: Sri Lanka,0.00,5.00,6.00,8.00,10.00,7.00,3.00,7.00,2.00,3.00,3.00,5.00,12.00,10.00,15.00,14.00,17.00,
Staatsangehörigkeit: Polen,5.00,7.00,11.00,10.00,13.00,6.00,5.00,5.00,5.00,5.00,12.00,11.00,14.00,16.00,13.00,12.00,9.00,
Staatsangehörigkeit: Übriges Ausland,156.00,174.00,188.00,194.00,198.00,211.00,234.00,232.00,255.00,260.00,247.00,282.00,287.00,293.00,385.00,425.00,445.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,2695.00,,,,
Religion: Protestantisch,,,,,,,,,,,,,,1035.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,857.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,26.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,57.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,10.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,266.00,,,,
Religion: Andere,,,,,,,,,,,,,,203.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,213.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,9080.00,9725.00,9606.00,10119.00,,,
Sozialhilfequote,,3.65,3.55,3.80,4.35,4.66,5.11,4.64,4.27,4.48,4.13,4.00,3.80,3.94,4.85,5.19,4.78,
Geld: Veranlagungen,,,,,,,,,,,,,,,3431.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,76467.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,53665.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.52,,,
Geld: Einkommensteuer Mittelwert,,,,,,,,,,,,,,,10409.00,,,
Geld: Einkommensteuer Median,,,,,,,,,,,,,,,6542.00,,,
Geld: Einkommensteuer Summe,,,,,,,,,,,,,,,35712871.00,,,
Geld: Steuerbelastung des Reineinkommens,,,,,,,,,,,,,,,13.61,,,
Geld: Reinvermögen Mittelwert,,,,,,,,,,,,,,,565122.00,,,
Geld: Reinvermögen Median,,,,,,,,,,,,,,,27802.00,,,
Geld: Reinvermögen Gini,,,,,,,,,,,,,,,0.93,,,
Geld: Vermögenssteuer Mittelwert,,,,,,,,,,,,,,,1945.00,,,
Geld: Vermögenssteuer Median,,,,,,,,,,,,,,,0.00,,,
Geld: Vermögenssteuer Summe,,,,,,,,,,,,,,,6671844.00,,,
Geld: Steuerbelastung des Reinvermögens,,,,,,,,,,,,,,,0.34,,,
,,,,,,,,,,,,,,,,,,
