,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Staatsangehörigkeit: Übriges Ausland,340.00,368.00,381.00,423.00,488.00,533.00,542.00,584.00,622.00,710.00,745.00,753.00,804.00,832.00,816.00,848.00,833.00,
Religion: Keine Zugehörigkeit,,,,,,,,,,,,,,5033.00,,,,
Religion: Protestantisch,,,,,,,,,,,,,,2306.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,1700.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,54.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,203.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,86.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,610.00,,,,
Religion: Andere,,,,,,,,,,,,,,406.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,400.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,22900.00,23452.00,23274.00,23428.00,,,
Sozialhilfequote,,2.22,2.57,2.99,3.05,3.70,3.80,3.55,3.07,2.86,2.89,3.26,3.03,3.09,3.24,3.00,2.97,
Geld: Veranlagungen,,,,,,,,,,,,,,,6520.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,99115.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,61808.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.55,,,
Geld: Einkommensteuer Mittelwert,,,,,,,,,,,,,,,15826.00,,,
Geld: Einkommensteuer Median,,,,,,,,,,,,,,,7810.00,,,
Geld: Einkommensteuer Summe,,,,,,,,,,,,,,,103185372.00,,,
Geld: Steuerbelastung des Reineinkommens,,,,,,,,,,,,,,,15.97,,,
Geld: Reinvermögen Mittelwert,,,,,,,,,,,,,,,920256.00,,,
Geld: Reinvermögen Median,,,,,,,,,,,,,,,56685.00,,,
Geld: Reinvermögen Gini,,,,,,,,,,,,,,,0.90,,,
Geld: Vermögenssteuer Mittelwert,,,,,,,,,,,,,,,4820.00,,,
Geld: Vermögenssteuer Median,,,,,,,,,,,,,,,0.00,,,
Geld: Vermögenssteuer Summe,,,,,,,,,,,,,,,31423707.00,,,
Geld: Steuerbelastung des Reinvermögens,,,,,,,,,,,,,,,0.52,,,
,,,,,,,,,,,,,,,,,,
