,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Religion: Protestantisch,,,,,,,,,,,,,,1387.00,,,,
Religion: Römisch-katolisch,,,,,,,,,,,,,,1336.00,,,,
Religion: Christ-katolisch,,,,,,,,,,,,,,52.00,,,,
Religion: Ostkirchliche Religionsgemeinde,,,,,,,,,,,,,,201.00,,,,
Religion: Jüdisch,,,,,,,,,,,,,,9.00,,,,
Religion: Muslimisch,,,,,,,,,,,,,,989.00,,,,
Religion: Andere,,,,,,,,,,,,,,398.00,,,,
Religion: Keine Angabe,,,,,,,,,,,,,,343.00,,,,
Vollzeitäquivalente,,,,,,,,,,,,1209.00,1220.00,1038.00,1055.00,,,
Sozialhilfequote,,4.07,4.59,5.31,6.28,6.51,6.90,6.15,6.00,5.94,5.62,5.61,5.72,5.71,5.66,5.62,5.74,
Geld: Veranlagungen,,,,,,,,,,,,,,,5507.00,,,
Geld: Reineinkommen Mittelwert,,,,,,,,,,,,,,,55698.00,,,
Geld: Reineinkommen Median,,,,,,,,,,,,,,,47184.00,,,
Geld: Reineinkommen Gini,,,,,,,,,,,,,,,0.42,,,
Geld: Einkommensteuer Mittelwert,,,,,,,,,,,,,,,7191.00,,,
Geld: Einkommensteuer Median,,,,,,,,,,,,,,,5051.00,,,
Geld: Einkommensteuer Summe,,,,,,,,,,,,,,,39603275.00,,,
Geld: Steuerbelastung des Reineinkommens,,,,,,,,,,,,,,,12.91,,,
Geld: Reinvermögen Mittelwert,,,,,,,,,,,,,,,132928.00,,,
Geld: Reinvermögen Median,,,,,,,,,,,,,,,13044.00,,,
Geld: Reinvermögen Gini,,,,,,,,,,,,,,,0.84,,,
Geld: Vermögenssteuer Mittelwert,,,,,,,,,,,,,,,475.00,,,
Geld: Vermögenssteuer Median,,,,,,,,,,,,,,,0.00,,,
Geld: Vermögenssteuer Summe,,,,,,,,,,,,,,,2617155.00,,,
Geld: Steuerbelastung des Reinvermögens,,,,,,,,,,,,,,,0.36,,,
,,,,,,,,,,,,,,,,,,
